DATE,PRICE,ADDRESS,AREAS,BEDROOMS,PARKING-SPACES,BATHROOMS,CONDOMÍNIO,IPTU,TIPO
2021-08-05 16:34:17.786987-03:00,R$ 250.000,"Rua Marechal Lino de Morais, Cidade Jardim",82 m²,2,1,2,R$ 380,,apartamentos
2021-08-05 16:34:17.787365-03:00,R$ 245.000,"Rua Alaor Mendonça, Vila Rosa",57 m²,2,1,2,,,apartamentos
2021-08-05 16:34:17.787759-03:00,R$ 330.000,"Avenida Nápoli, Residencial Eldorado",77 m²,3,2,2,R$ 462,,apartamentos
2021-08-05 16:34:17.788166-03:00,R$ 190.000,"Rua Tipiti, Parque Amazônia",62 m²,2,1,2,R$ 350,R$ 900,apartamentos
2021-08-05 16:34:17.788605-03:00,R$ 377.600,"Avenida Armando de Godoy, Setor Negrão de Lima",76 m²,3,2,2,R$ 450,R$ 650,apartamentos
2021-08-05 16:34:17.789114-03:00,R$ 160.000,"Rua C 139, Jardim América",59 m²,2,1,1,R$ 200,,apartamentos
2021-08-05 16:34:17.789536-03:00,R$ 230.000,"Avenida Independência, Setor Faiçalville",62 m²,2,1,2,,,apartamentos
2021-08-05 16:34:17.789895-03:00,R$ 650.000,"Rua 5, Setor Oeste",147 m²,3,2,2,R$ 850,R$ 560,apartamentos
2021-08-05 16:34:17.790350-03:00,R$ 225.000,"Rua C 234, Jardim América",62 m²,2,1,2,R$ 280,R$ 300,apartamentos
2021-08-05 16:34:17.790798-03:00,R$ 280.000,"Avenida Marialva, Vila Rosa",55 m²,2,1,2,R$ 300,,apartamentos
2021-08-05 16:34:17.791194-03:00,R$ 3.343.100,"Rua 36, Setor Marista",404 m²,4,4 - 5,4,,,apartamentos
2021-08-05 16:34:17.791550-03:00,R$ 2.000.000,"Rua 146, Setor Marista",267 - 504 m²,4 - 5,1,1 - 2,,,apartamentos
2021-08-05 16:34:17.791899-03:00,Sob consulta,"Rua 146, Setor Marista",267 - 504 m²,4,,5 - 6,,,apartamentos
2021-08-05 16:34:17.792189-03:00,R$ 1.170.191,"Setor Marista, Goiânia",158 m²,3,3,5,,,apartamentos
2021-08-05 16:34:17.792535-03:00,R$ 1.900.000,"Setor Bueno, Goiânia",265 m²,4,4,6,,,apartamentos
2021-08-05 16:34:17.792870-03:00,R$ 310.000,"Avenida Pedro Paulo de Souza, Goiania 2",82 m²,3,2,3,R$ 360,R$ 550,apartamentos
2021-08-05 16:34:17.793289-03:00,R$ 323.000,"Avenida Pedro Paulo de Souza, Goiania 2",79 m²,3,2,2,R$ 290,R$ 700,apartamentos
2021-08-05 16:34:17.793970-03:00,R$ 310.000,"Rua C 154, Jardim América",59 m²,2,1,2,,,apartamentos
2021-08-05 16:34:17.794373-03:00,R$ 350.000,"Setor Negrão de Lima, Goiânia",76 m²,3,2,2,,,apartamentos
2021-08-05 16:34:17.794760-03:00,R$ 225.000,"Vila Rosa, Goiânia",57 m²,2,1,2,R$ 300,R$ 350,apartamentos
2021-08-05 16:34:17.795217-03:00,R$ 305.000,"Rua Paritins, Parque Amazônia",58 m²,2,1,2,R$ 300,,apartamentos
2021-08-05 16:34:17.796185-03:00,R$ 450.000,"Avenida Circular, Residencial Eldorado",100 m²,3,2,4,R$ 400,,apartamentos
2021-08-05 16:34:17.796605-03:00,R$ 260.000,"Rua Tipiti, Parque Amazônia",60 m²,2,1,2,,,apartamentos
2021-08-05 16:34:17.796964-03:00,R$ 428.000,"Rua 138, Setor Marista",68 m²,2,2,2,R$ 350,,apartamentos
2021-08-05 16:34:17.797358-03:00,R$ 250.000,"Avenida Engenheiro Atílio Correia Lima, Cidade Jardim",70 m²,2,,2,,,apartamentos
2021-08-05 16:34:17.797705-03:00,R$ 220.000,"Rua 408, Setor Negrão de Lima",54 m²,2,1,2,R$ 300,,apartamentos
2021-08-05 16:34:17.798112-03:00,R$ 140.000,"Rua Antônio Poteiro, Goiania 2",62 m²,2,1,2,R$ 320,R$ 300,apartamentos
2021-08-05 16:34:17.798550-03:00,R$ 220.000,"Rua Fortaleza, Jardim das Esmeraldas",54 m²,2,1,2,R$ 350,,apartamentos
2021-08-05 16:34:17.798946-03:00,R$ 890.000,"Rua 135, Setor Marista",159 m²,4,3,5,R$ 680,R$ 950,apartamentos
2021-08-05 16:34:17.799389-03:00,R$ 299.000,"Rua 24-A, Setor Central",57 m²,2,1,2,,,apartamentos
2021-08-05 16:34:17.799744-03:00,R$ 350.000,"Rua de Icarai, Parque Amazônia",74 m²,2,2,2,R$ 350,R$ 450,apartamentos
2021-08-05 16:34:17.800174-03:00,R$ 570.000,"Rua T 37, Setor Bueno",104 m²,3,2,5,R$ 540,,apartamentos
2021-08-05 16:34:17.800562-03:00,R$ 296.180,"Rua C 154, Jardim América",59 m²,2,1,2,R$ 220,R$ 300,apartamentos
2021-08-05 16:34:17.800981-03:00,R$ 1.350.000,"Rua T 30, Setor Bueno",215 m²,4,3,5,R$ 650,R$ 1,apartamentos
2021-08-05 16:34:17.801413-03:00,R$ 632.000,"Rua Mário Bittar, Setor Marista",100 m²,3,2,3,,,apartamentos
2021-08-05 16:34:17.801758-03:00,R$ 870.000,"Rua Mário Bittar, Setor Marista",135 m²,4,2,3,,,apartamentos
2021-08-05 16:34:17.802089-03:00,R$ 1.419.900,"Rua T 53, Setor Bueno",204 - 262 m²,3 - 4,3 - 4,5 - 6,,,apartamentos
2021-08-05 16:34:17.802447-03:00,R$ 2.200.000,"Rua 70, Jardim Goiás",235 m²,4,3,5,R$ 1.200,,apartamentos
2021-08-05 16:34:17.802876-03:00,R$ 727.000,"Rua T 37, Setor Bueno",119 m²,3,2,4,R$ 450,R$ 1.600,apartamentos
2021-08-05 16:34:17.803289-03:00,R$ 570.000,"Setor Bueno, Goiânia",113 m²,3,,2,R$ 670,,apartamentos
2021-08-05 16:34:17.803678-03:00,R$ 220.000,"Rua 1 A, Setor Aeroporto",60 m²,2,1,2,R$ 540,,apartamentos
2021-08-05 16:34:17.804074-03:00,R$ 1.698.000,"Rua 15, Jardim Goiás",259 m²,4,4,5,R$ 1.300,R$ 2.300,apartamentos
2021-08-05 16:34:17.804507-03:00,R$ 235.000,"Moinho dos Ventos, Goiânia",64 m²,2,1,2,R$ 280,,apartamentos
2021-08-05 16:34:17.804914-03:00,R$ 250.000,"Avenida Armando de Godoy, Setor Negrão de Lima",62 m²,2,1,2,,,apartamentos
2021-08-05 16:34:17.805248-03:00,R$ 390.000,"Rua T 37, Setor Bueno",133 m²,3,2,4,R$ 1.345,,apartamentos
2021-08-05 16:34:17.805657-03:00,R$ 448.000,"Rua T 30, Setor Bueno",112 m²,3,2,3,,,apartamentos
2021-08-05 16:34:17.805983-03:00,R$ 320.000,"Rua 6, Jardim Goiás",60 m²,2,1,2,R$ 350,,apartamentos
2021-08-05 16:34:17.806376-03:00,R$ 2.200.000,"Avenida Americano do Brasil, Setor Marista",252 m²,4,4,6,R$ 1.700,R$ 2.200,apartamentos
2021-08-05 16:34:17.806808-03:00,R$ 1.645.000,"Rua 15, Jardim Goiás",222 m²,3,3,5,R$ 1.250,,apartamentos
2021-08-05 16:34:17.807190-03:00,R$ 245.000,"Avenida Nápoli, Residencial Eldorado",63 m²,2,2,2,R$ 320,,apartamentos
2021-08-05 16:34:17.807601-03:00,R$ 340.000,"Rua 1026, Setor Pedro Ludovico",82 m²,3,2,2,R$ 550,R$ 980,apartamentos
